N70490,2020-06-19 19:31:00,24
SB0325,2020-08-12 23:40:00,42
RK0422,2020-11-04 04:30:00,39
ME0836,2020-09-11 09:29:00,24
AS0365,2020-02-06 22:07:00,44
HF0344,2020-03-10 09:38:00,1
SR0949,2020-02-12 10:12:00,138
MY0474,2020-06-18 12:54:00,0
RB0430,2020-10-02 03:04:00,153
6A0092,2020-03-16 16:39:00,70
LY0440,2020-11-10 15:35:00,106
LA0898,2020-07-02 02:26:00,32
NZ0645,2020-04-05 12:33:00,233
AN0792,2020-02-02 19:03:00,74
MX0502,2020-10-10 04:33:00,27
A20639,2020-09-26 01:56:00,5
JP0171,2020-12-19 12:03:00,66
6A0092,2020-11-16 16:39:00,107
PL0787,2020-12-23 23:29:00,19
JO0543,2020-10-20 22:44:00,235
FC0218,2020-12-16 01:16:00,146
AH0671,2020-06-14 16:34:00,43
UK0793,2020-10-23 15:51:00,28
VH0456,2020-11-15 12:17:00,22
WT0129,2020-03-01 04:11:00,60
UK0793,2020-02-21 15:51:00,48
NZ0645,2020-02-16 12:33:00,233
AC0933,2020-10-01 19:49:00,59
AC0041,2020-02-27 11:56:00,98
SU0032,2020-08-09 04:58:00,16
SR0949,2020-07-01 10:12:00,73
RK0422,2020-01-01 04:30:00,83
MJ0918,2020-06-29 04:05:00,50
DR0472,2020-02-04 20:26:00,134
SA0536,2020-10-16 06:55:00,32
AO0221,2020-02-06 01:12:00,23
3Q0436,2020-06-29 03:15:00,10
BR0041,2020-06-27 00:04:00,174
PE0344,2020-01-28 12:17:00,100
PO0602,2020-01-13 22:01:00,11
MJ0918,2020-09-28 04:05:00,36
KZ0865,2020-03-20 00:52:00,127
3Q0436,2020-04-20 03:15:00,14
MF0716,2020-08-05 19:08:00,100
TP0097,2020-06-26 18:19:00,17
E40047,2020-08-18 16:54:00,10
SR0949,2020-10-21 10:12:00,52
JP0171,2020-10-03 12:03:00,72
ND0156,2020-12-24 03:18:00,9
RS0809,2020-05-22 07:10:00,38
FC0218,2020-07-22 01:16:00,78
ND0156,2020-03-19 03:18:00,172
TP0097,2020-01-24 18:19:00,153
VH0456,2020-10-04 12:17:00,146
RK0422,2020-02-26 04:30:00,81
AC0933,2020-04-30 19:49:00,198
ME0836,2020-01-24 09:29:00,5
IA0366,2020-05-14 15:37:00,187
LA0898,2020-12-10 02:26:00,42
5U0628,2020-01-30 09:08:00,62
JP0171,2020-02-01 12:03:00,62
E40246,2020-04-20 09:51:00,60
AO0221,2020-12-10 01:12:00,37
3Q0083,2020-12-25 03:15:00,234
AV0917,2020-01-07 22:13:00,7
FC0218,2020-05-06 01:16:00,11
RB0683,2020-10-25 03:39:00,145
RS0809,2020-01-31 07:10:00,18
IR0851,2020-01-15 06:17:00,53
5U0628,2020-04-16 09:08:00,35
WT0129,2020-05-10 04:11:00,2
MX0933,2020-04-12 17:05:00,194
MJ0918,2020-01-13 04:05:00,42
UK0793,2020-08-07 15:51:00,53
AR0064,2020-01-17 02:48:00,1
DR0634,2020-12-30 06:03:00,33
PL0787,2020-05-27 23:29:00,10
KK0722,2020-01-21 23:39:00,14
RB0683,2020-02-09 03:39:00,104
BR0041,2020-04-04 00:04:00,151
FJ0826,2020-04-27 00:06:00,62
HF0344,2020-12-22 09:38:00,9
DR0634,2020-09-09 06:03:00,30
IA0366,2020-09-10 15:37:00,20
RS0809,2020-09-04 07:10:00,2
DR0634,2020-02-19 06:03:00,6
LA0898,2020-06-04 02:26:00,23
ME0836,2020-08-14 09:29:00,66
NW0602,2020-10-19 04:40:00,1
E40246,2020-05-18 09:51:00,68
JP0171,2020-07-18 12:03:00,57
